client_id,sales
6634,8801.8366
2541,457598.0001
3242,704160.1735
9289,772972.4168
6435,380358.0279
3655,124277.9935
6320,184067.965
5853,833479.3078
6295,156747.5371
9415,582816.8818
9232,472886.9816
431,342948.157
918,12685.6204
8764,984351.7149
3848,282020.8891
1510,89436.9798
1542,534058.1587
5536,794609.0648
5164,862122.7322
6317,718308.7768
731,327617.2735
6649,360006.4274
7372,351875.1172
8210,929070.9247
669,905851.002
5348,304840.0618
4844,673372.0037
5213,287575.9844
68,140873.401
630,250883.9447
7514,500480.2601
8846,418203.4748
7657,452973.4412
3521,201546.1851
8214,395309.6338
9607,792896.9637
4465,197034.0867
6234,253559.4136
981,319192.6346
6777,137998.3569
2169,668870.0356
790,496106.8226
5618,915031.3161
1459,669889.6529
7029,702673.4521
7769,495639.3028
6397,648200.2177
6506,14381.9115
9061,834.2585
1503,446428.3914
3416,993467.5894
5090,448461.4085
1331,776428.1127
2964,653936.9142
9616,725461.4891
6483,757327.8736
8335,4147.1827
8206,27710.5953
7665,285967.0003
5776,573444.6043
2680,917034.7198
1644,309879.1458
375,807694.3783
5201,494316.2937
225,749778.302
563,446769.1632
4279,812195.2172
1048,87387.313
3312,566497.6986
5222,299918.844
231,674886.4361
8790,190413.258
9343,764020.9767
5862,324606.7454
8284,467031.3819
2577,277221.7232
9407,780636.7508
4599,353661.0809
9845,739532.9787
3411,799642.914
2507,279843.6167
1218,12026.0096
4082,637089.0491
10000,539613.0669
8137,469751.3344
3470,298636.1826
3193,624120.3075
7328,903003.2959
2207,21538.5706
4992,600905.7932
305,927238.0093
8870,740279.9564
6836,464923.1519
780,504783.8074
4060,538941.1512
7120,214579.8064
859,741323.6328
6696,283820.0852
3089,910751.8048
4177,960593.9199
1660,649392.8048
6893,456833.6363
5167,390289.8098
8600,622264.5553
1756,145913.894
1718,725863.0664
1014,412877.8336
9366,544682.09
7937,719327.287
7897,617441.5726
3541,208303.9929
711,724420.5321
1752,800791.4674
7330,159951.3671
2354,498543.7104
3400,775871.2076
7306,535576.8486
4624,422242.1886
7416,306651.1329
6941,171957.6161
3907,904699.1354
8706,60665.4616
2749,426699.6455
2490,632836.8445
2473,985290.3802
4964,833981.7851
1573,498430.9921
4111,82447.8751
784,724472.5599
1063,672717.2817
432,646964.4288
654,871283.5231
8935,883254.9784
4790,848353.0072
5771,569944.48
5390,663110.9971
9275,397662.3959
313,194286.8371
1,752171.8973
1817,831541.2605
9671,916406.7458
6592,295825.3155
6317,22733.5494
8346,361501.5043
8725,399252.4687
4139,838509.1288
1333,952731.7299
6725,982526.0623
5341,746513.8222
9399,517561.4773
9951,533223.4694
3628,327943.5464
2648,137459.7482
7665,302921.1581
3362,487522.1248
4774,783428.346
3779,142723.0302
7193,898598.6566
6056,426101.3801
7537,849211.8843
3474,235629.4358
8216,414332.416
8246,978999.0305
9118,62123.6708
7814,691806.2733
1006,123216.9051
3788,747538.5406
4137,621845.3114
8066,845327.7435
56,809853.7357
6922,14647.435
6079,210360.2253
8473,532533.263
3380,856346.3106
2012,443348.9375
9661,572825.2144
2837,489720.1219
9539,446023.7385
9606,642056.322
8283,841257.3436
175,662036.0567
2700,2830.4366
8593,536757.3186
2845,924773.5322
1794,907279.3907
294,907668.2716
7840,629471.8953
9119,787559.2425
6439,19435.2387
3256,964492.6291
9973,848974.0962
6216,617269.9629
2554,507097.833
284,540208.24
7476,421630.2557
5972,949473.6742
3942,312640.4429
937,767669.6709
6658,846791.9585
2787,15967.5988
9938,103209.9187
3533,489598.9712
5010,967518.9194
5634,182114.8549
7571,129407.0999
3823,284289.7223
8196,955105.3355
2164,867892.1345
1830,649624.3987
9433,960332.0071
9247,257794.648
2814,340517.801
1026,947663.7547
6713,657159.8893
392,356378.5179
7879,519936.5989
9716,526471.3978
56,560895.4771
2866,953163.1592
7036,973246.8558
6311,534189.5928
2808,43370.157
4696,989594.146
1120,930366.2579
6463,357388.5869
3949,93012.7034
9398,964761.7642
9743,115682.9146
5207,464808.848
9275,443961.015
